,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Port Alfred,ZA,-33.5906,26.891,57.61,73,77,7.61,broken clouds
79,Saint-Philippe,RE,-21.3585,55.7679,65.79,79,51,14.16,light rain
80,Damghan,IR,36.1683,54.348,71.47,54,2,0.6,clear sky
81,Ushibuka,JP,32.1906,130.0228,72.32,95,100,9.15,overcast clouds
82,Muros,ES,42.7762,-9.0603,57.09,89,95,6.11,overcast clouds
83,Castro,BR,-24.7911,-50.0119,51.06,93,49,5.66,scattered clouds
84,Vaini,TO,-21.2,-175.2,80.76,83,75,16.11,broken clouds
85,Muroto,JP,33.2833,134.15,73.72,85,100,1.79,overcast clouds
86,Albany,US,42.6001,-73.9662,68.65,37,4,12.48,clear sky
87,Thompson,CA,55.7435,-97.8558,84.36,42,75,2.3,broken clouds
88,Muravlenko,RU,63.7898,74.523,61.07,64,37,7.47,scattered clouds
89,Lompoc,US,34.6391,-120.4579,87.57,56,0,27.0,clear sky
90,Buchanan,LR,5.8808,-10.0467,77.49,74,8,5.61,clear sky
91,Cherskiy,RU,68.75,161.3,61.07,46,100,16.37,overcast clouds
92,Brae,GB,60.3964,-1.353,49.37,94,5,6.91,clear sky
93,Sibolga,ID,1.7427,98.7792,74.93,86,100,3.53,overcast clouds
94,Denpasar,ID,-8.65,115.2167,82.06,83,40,10.36,scattered clouds
95,Kapaa,US,22.0752,-159.319,84.18,75,75,13.8,broken clouds
96,Rawson,AR,-43.3002,-65.1023,41.22,61,1,8.19,clear sky
97,Victoria,HK,22.2855,114.1577,85.17,83,99,11.99,overcast clouds
98,East London,ZA,-33.0153,27.9116,62.38,61,100,7.34,overcast clouds
99,Trinidad,BO,-14.8333,-64.9,76.98,73,1,3.44,clear sky
100,Odda,NO,60.0691,6.5457,54.77,74,53,5.64,broken clouds
101,Miri,MY,4.4148,114.0089,77.14,100,40,3.44,scattered clouds
102,New Norfolk,AU,-42.7826,147.0587,52.92,86,100,2.73,overcast clouds
103,Muhos,FI,64.808,25.9931,47.98,95,94,1.5,overcast clouds
104,Katsuura,JP,35.1333,140.3,73.58,91,100,17.2,light rain
105,Zhaotong,CN,27.3167,103.7167,62.38,95,89,2.64,overcast clouds
106,Hamilton,US,39.1834,-84.5333,79.65,35,0,4.61,clear sky
107,Cape Town,ZA,-33.9258,18.4232,55.11,77,0,12.66,clear sky
108,Marquette,US,46.5333,-87.6335,67.82,47,99,13.73,overcast clouds
109,Obo,CF,5.3998,26.4869,64.99,94,100,2.93,overcast clouds
110,Luderitz,NA,-26.6481,15.1594,55.45,73,0,4.09,clear sky
111,Chokurdakh,RU,70.6333,147.9167,45.1,68,93,21.56,overcast clouds
112,Khasan,RU,42.4308,130.6434,69.01,78,94,7.18,overcast clouds
113,Ponta Do Sol,PT,32.6667,-17.1,69.01,69,67,9.89,broken clouds
114,Kaitangata,NZ,-46.2817,169.8464,45.39,88,100,2.82,overcast clouds
115,Tilichiki,RU,60.4667,166.1,44.74,94,100,1.88,light rain
116,Acara,BR,-1.9608,-48.1967,78.01,78,100,2.84,overcast clouds
117,Rio Claro,BR,-22.4114,-47.5614,61.32,66,0,3.2,clear sky
118,Catende,BR,-8.6667,-35.7167,70.77,96,52,3.02,broken clouds
119,Avarua,CK,-21.2078,-159.775,80.65,69,40,16.11,scattered clouds
120,Esperance,AU,-33.8667,121.9,48.04,80,100,8.99,overcast clouds
121,Port Hardy,CA,50.6996,-127.4199,57.38,72,40,14.97,scattered clouds
122,Rupert,US,42.6191,-113.6772,62.55,34,20,20.71,few clouds
123,Bambous Virieux,MU,-20.3428,57.7575,68.25,88,40,3.44,scattered clouds
124,Azul,AR,-36.777,-59.8585,46.35,65,26,6.69,scattered clouds
125,Phuket,TH,8.0,98.25,86.13,89,20,0.0,light rain
126,Aksarka,RU,66.5606,67.7975,59.45,93,96,5.1,overcast clouds
127,Porto Santo,PT,33.072,-16.3415,66.58,77,40,19.57,scattered clouds
128,Atuona,PF,-9.8,-139.0333,77.7,77,30,14.61,scattered clouds
129,Qeshm,IR,26.9581,56.2719,85.89,68,4,2.68,clear sky
130,Manzhouli,CN,49.6,117.4333,64.47,78,100,13.76,overcast clouds
131,Praia,CV,14.9215,-23.5087,75.74,88,98,6.91,haze
132,Saskylakh,RU,71.9167,114.0833,41.29,53,12,1.59,few clouds
133,Hovd,MN,48.0056,91.6419,61.41,39,97,5.99,overcast clouds
134,Flin Flon,CA,54.7682,-101.865,71.44,64,100,14.97,overcast clouds
135,Vanimo,PG,-2.6741,141.3028,80.73,76,31,3.8,scattered clouds
136,Hermanus,ZA,-34.4187,19.2345,45.81,82,24,11.36,few clouds
137,Kholtoson,RU,50.2981,103.3097,54.48,84,37,1.23,scattered clouds
138,Almeirim,BR,-1.5233,-52.5817,76.26,83,39,2.44,scattered clouds
139,Fortuna,US,40.5982,-124.1573,65.93,66,40,5.99,scattered clouds
140,Namatanai,PG,-3.6667,152.4333,82.38,72,5,4.21,clear sky
141,Cap Malheureux,MU,-19.9842,57.6142,67.46,74,0,3.0,clear sky
142,Zhangjiakou,CN,40.81,114.8794,73.36,74,69,2.37,broken clouds
143,Praya,CV,14.9215,-23.5087,75.74,88,98,6.91,haze
144,Marabba,SD,12.35,32.1833,82.22,57,100,16.28,overcast clouds
145,Jibuti,DJ,11.5,42.5,85.19,40,84,11.59,broken clouds
146,Mayo,US,38.8876,-76.5119,79.03,35,0,10.36,clear sky
147,Rocha,UY,-34.4833,-54.3333,46.17,65,86,6.53,overcast clouds
148,Severnyy,RU,50.677,36.5532,66.24,59,0,8.95,clear sky
149,Srednekolymsk,RU,67.45,153.6833,63.81,44,100,10.02,overcast clouds
150,Mahebourg,MU,-20.4081,57.7,68.29,88,40,3.44,scattered clouds
151,Huarmey,PE,-10.0681,-78.1522,65.01,79,3,12.53,clear sky
152,Kutum,SD,14.2,24.6667,79.99,20,38,10.87,scattered clouds
153,Samarai,PG,-10.6167,150.6667,80.73,81,68,13.71,moderate rain
154,Palmer,US,42.1584,-72.3287,69.4,41,75,12.66,broken clouds
155,Sakakah,SA,29.9697,40.2064,92.77,16,0,10.42,clear sky
156,Bandarbeyla,SO,9.4942,50.8122,78.04,71,89,30.49,overcast clouds
157,Male,MV,4.1748,73.5089,84.15,79,40,8.05,scattered clouds
158,Valera,VE,9.3178,-70.6036,74.89,90,85,2.26,overcast clouds
159,Ancud,CL,-41.8697,-73.8203,40.23,90,88,7.83,overcast clouds
160,Dicabisagan,PH,17.0818,122.4157,82.0,78,14,2.98,few clouds
161,Claremore,US,36.3126,-95.6161,92.1,59,0,5.75,clear sky
162,Caravelas,BR,-17.7125,-39.2481,71.02,82,1,5.59,clear sky
163,Kenai,US,60.5544,-151.2583,62.02,65,0,9.22,light rain
164,Caldas Novas,BR,-17.7417,-48.625,74.52,45,33,3.38,scattered clouds
165,Dudinka,RU,69.4058,86.1778,58.68,40,84,5.93,broken clouds
166,Khatanga,RU,71.9667,102.5,48.27,50,54,6.55,broken clouds
167,Les Cayes,HT,18.2,-73.75,81.52,76,10,8.61,clear sky
168,Fare,PF,-16.7,-151.0167,79.38,75,9,21.79,light rain
169,Ahipara,NZ,-35.1667,173.1667,54.59,84,100,14.61,light rain
170,Solnechnyy,RU,50.7214,136.6319,53.37,96,100,4.61,overcast clouds
171,Grindavik,IS,63.8424,-22.4338,48.67,100,100,17.27,light intensity drizzle
172,Leh,IN,34.1667,77.5833,42.73,91,100,3.83,overcast clouds
173,Santa Maria,BR,-29.6842,-53.8069,47.5,93,0,3.44,clear sky
174,Zyryanka,RU,65.75,150.85,72.27,34,88,12.37,overcast clouds
175,Cabo San Lucas,MX,22.8909,-109.9124,89.62,69,0,13.8,clear sky
176,Provideniya,RU,64.3833,-173.3,41.11,87,40,15.66,fog
177,Urucara,BR,-2.5364,-57.76,78.76,75,100,1.88,overcast clouds
178,Jupiter,US,26.9342,-80.0942,86.05,65,54,7.0,broken clouds
179,Comodoro Rivadavia,AR,-45.8667,-67.5,39.06,65,0,8.05,clear sky
180,Talnakh,RU,69.4865,88.3972,62.47,33,86,7.92,overcast clouds
181,Dikson,RU,73.5069,80.5464,37.29,85,100,13.6,overcast clouds
182,Raudeberg,NO,61.9875,5.1352,54.27,86,0,13.4,clear sky
183,Ostrovnoy,RU,68.0531,39.5131,39.61,97,100,12.1,overcast clouds
184,Cururupu,BR,-1.8283,-44.8683,74.26,96,64,3.18,broken clouds
185,Bonthe,SL,7.5264,-12.505,77.7,74,34,6.24,scattered clouds
186,Ternuvate,UA,47.8305,36.1276,61.92,68,0,1.92,clear sky
187,Axim,GH,4.8699,-2.2405,75.4,89,77,5.86,broken clouds
188,Bilibino,RU,68.0546,166.4372,63.32,44,77,12.82,broken clouds
189,Tocopilla,CL,-22.092,-70.1979,61.23,66,20,6.46,few clouds
190,Broome,US,42.2506,-75.833,63.86,52,0,12.66,clear sky
191,Camalu,MX,30.85,-116.0667,70.38,54,0,12.06,clear sky
192,Hambantota,LK,6.1241,81.1185,78.84,84,76,13.87,broken clouds
193,Faanui,PF,-16.4833,-151.75,79.21,76,27,20.49,light rain
194,Ketchikan,US,55.3422,-131.6461,54.07,82,100,4.61,light rain
195,Aurdal,NO,60.9242,9.4159,44.13,80,72,0.81,broken clouds
196,Codrington,AU,-38.2667,141.9667,54.36,66,73,24.11,broken clouds
197,Tateyama,JP,34.9833,139.8667,77.09,91,100,19.1,overcast clouds
198,Kijang,KR,35.2442,129.2139,78.53,73,59,6.42,broken clouds
199,Podgorenskiy,RU,50.405,39.6429,60.17,83,7,7.27,clear sky
200,Pevek,RU,69.7008,170.3133,44.8,69,86,9.78,overcast clouds
201,Roald,NO,62.5833,6.1333,51.75,87,0,10.36,clear sky
202,Chapais,CA,49.7834,-74.8492,64.18,41,0,7.31,clear sky
203,Komsomolskiy,UZ,40.4272,71.7189,75.92,31,97,4.61,overcast clouds
204,Portland,US,45.5234,-122.6762,66.78,69,75,8.05,broken clouds
205,Canmore,CA,51.0834,-115.3521,68.11,41,88,11.5,overcast clouds
206,Egvekinot,RU,66.3167,-179.1667,38.52,93,100,7.2,overcast clouds
207,Saint George,US,37.1041,-113.5841,86.63,8,0,20.71,clear sky
208,Bereda,ES,43.2686,-7.5406,54.41,100,99,2.98,overcast clouds
209,Cidreira,BR,-30.1811,-50.2056,53.83,81,1,3.22,clear sky
210,Koungheul,SN,13.9833,-14.8,78.82,75,90,9.01,overcast clouds
211,Kaniama,CD,-7.5667,24.1833,72.72,44,74,0.87,broken clouds
212,Lata,PT,40.1629,-8.3327,54.72,88,73,4.12,broken clouds
213,Arraial Do Cabo,BR,-22.9661,-42.0278,68.83,73,56,8.32,broken clouds
214,Kununurra,AU,-15.7667,128.7333,64.38,72,96,0.0,overcast clouds
215,Vestmannaeyjar,IS,63.4427,-20.2734,49.32,96,100,17.87,overcast clouds
216,Arnprior,CA,45.4334,-76.3494,68.65,65,5,5.84,clear sky
217,Eyl,SO,7.9803,49.8164,78.03,69,72,24.76,broken clouds
218,Norman Wells,CA,65.282,-126.8329,77.04,38,75,10.36,broken clouds
219,Longyearbyen,SJ,78.2186,15.6401,39.04,65,40,14.97,scattered clouds
220,Upernavik,GL,72.7868,-56.1549,34.38,87,24,12.88,few clouds
221,Kella,DE,51.2333,10.0833,63.63,87,46,4.5,scattered clouds
222,Abu Samrah,SY,35.3029,37.1841,69.3,48,0,8.48,clear sky
223,Banjar,ID,-8.19,114.9675,78.28,88,70,4.68,broken clouds
224,Mmabatho,ZA,-25.85,25.6333,55.36,54,0,6.91,clear sky
225,Deputatskiy,RU,69.3,139.9,37.9,78,88,18.95,overcast clouds
226,Ambulu,ID,-8.345,113.6058,76.23,90,99,1.97,overcast clouds
227,Biak,ID,-0.9131,122.8766,75.31,86,100,4.23,overcast clouds
228,Crowley,US,30.2141,-92.3746,96.87,60,42,3.56,scattered clouds
229,Marzuq,YE,14.4,46.4667,80.74,52,100,6.13,overcast clouds
230,Doha,QA,25.2867,51.5333,89.58,64,0,10.36,clear sky
231,Kurchum,KZ,48.5722,83.6542,65.01,58,31,3.85,scattered clouds
232,Mingaora,PK,34.7758,72.3625,67.41,76,100,3.22,overcast clouds
233,Lagoa,PT,39.05,-27.9833,63.27,73,95,21.56,overcast clouds
234,Santa Ines,BR,-3.6667,-45.38,73.94,93,37,1.81,scattered clouds
235,Pisco,PE,-13.7,-76.2167,61.02,88,40,4.61,mist
236,Bahia Blanca,AR,-38.7196,-62.2724,43.52,72,30,5.95,scattered clouds
237,Pemba,MZ,-12.974,40.5178,70.5,83,20,5.75,few clouds
238,Lebu,CL,-37.6167,-73.65,51.22,87,100,11.18,overcast clouds
239,Asau,RO,46.4333,26.4,58.12,71,0,4.54,clear sky
240,Lampang,TH,18.3333,99.5,76.26,78,20,0.0,few clouds
241,Sioux Lookout,CA,50.1001,-91.917,84.27,58,75,6.91,broken clouds
242,Itoman,JP,26.1247,127.6694,84.58,86,75,12.66,broken clouds
243,Naron,ES,43.5167,-8.1528,57.04,89,100,5.08,overcast clouds
244,Nemuro,JP,43.3236,145.575,55.02,100,100,8.37,overcast clouds
245,Whitehorse,CA,60.7161,-135.0538,65.17,30,75,11.5,broken clouds
246,Harper,LR,4.375,-7.7169,77.05,81,17,8.37,few clouds
247,Iqaluit,CA,63.7506,-68.5145,53.33,43,75,20.71,broken clouds
248,Sitka,US,57.0531,-135.33,53.49,82,100,6.91,light rain
249,Appingedam,NL,53.3217,6.8583,56.08,82,80,1.99,broken clouds
250,Cockburn Town,TC,21.4612,-71.1419,82.36,74,40,6.91,scattered clouds
251,Usinsk,RU,65.9939,57.5281,55.45,76,99,7.29,overcast clouds
252,Maragogi,BR,-9.0122,-35.2225,75.34,86,21,6.51,few clouds
253,Yulara,AU,-25.2406,130.9889,63.05,32,0,5.44,clear sky
254,Bonavista,CA,48.6499,-53.1147,52.3,92,100,16.84,overcast clouds
255,Jalu,LY,29.0331,21.5482,79.63,35,0,7.83,clear sky
256,Berezovyy,RU,51.6667,135.7,58.95,89,100,1.34,overcast clouds
257,Mastic Beach,US,40.7668,-72.8521,71.8,40,0,10.36,clear sky
258,Verkhniy Lomov,RU,53.4678,43.5511,62.56,92,92,15.19,overcast clouds
259,Staryy Nadym,RU,65.6118,72.6842,64.15,63,85,9.4,overcast clouds
260,Guhagar,IN,17.4842,73.1929,79.38,85,99,5.26,overcast clouds
261,Paamiut,GL,61.994,-49.6678,40.14,97,100,11.05,overcast clouds
262,Magistralnyy,RU,56.1725,107.4458,59.61,86,90,0.96,light rain
263,San Cristobal,VE,7.7669,-72.225,68.18,96,88,3.38,overcast clouds
264,Klaksvik,FO,62.2266,-6.589,49.12,86,93,13.11,overcast clouds
265,Nikolskoye,RU,59.7035,30.7861,55.8,79,26,6.91,scattered clouds
266,Cianorte,BR,-23.6633,-52.605,58.23,87,85,2.86,moderate rain
267,Mlalo,TZ,-4.9333,38.9333,67.1,94,56,6.31,broken clouds
268,Bam,IR,29.106,58.357,83.73,18,1,7.25,clear sky
269,Alofi,NU,-19.0595,-169.9187,80.49,83,75,6.91,broken clouds
270,Barcelona,ES,41.3888,2.159,77.61,80,0,10.36,clear sky
271,Kudahuvadhoo,MV,2.6708,72.8944,83.53,68,28,10.76,scattered clouds
272,Shache,CN,38.4167,77.2406,64.49,59,77,3.96,broken clouds
273,Dahuk,IQ,36.8695,42.994,83.59,21,0,4.18,clear sky
274,Mikuni,JP,36.2171,136.1519,78.71,85,19,3.74,few clouds
275,Ulaangom,MN,49.9811,92.0667,60.64,59,13,3.44,few clouds
276,Lawrenceburg,US,38.0373,-84.8966,80.49,41,0,3.44,clear sky
277,Tazmalt,DZ,36.3868,4.3989,79.75,29,0,2.59,clear sky
278,Santa Cruz,BO,-17.8,-63.1667,73.45,60,0,17.27,clear sky
279,Wellington,NZ,-41.2866,174.7756,47.86,83,40,31.07,scattered clouds
280,Honningsvag,NO,70.9821,25.9704,42.55,81,100,5.75,overcast clouds
281,Mormugao,IN,15.4,73.8,76.26,88,75,4.61,broken clouds
282,Meadow Lake,US,34.8014,-106.5436,75.79,51,96,15.73,overcast clouds
283,Bethel,US,41.3712,-73.414,70.52,40,20,17.27,few clouds
284,Salalah,OM,17.0151,54.0924,86.09,84,75,9.22,broken clouds
285,Miandrivazo,MG,-19.5167,45.4667,68.13,55,0,2.01,clear sky
286,Benghazi,LY,32.1167,20.0667,75.87,58,0,8.1,clear sky
287,Lulea,SE,65.5842,22.1547,50.07,87,31,4.61,scattered clouds
288,Normandin,CA,48.8333,-72.5321,68.31,37,0,12.66,clear sky
289,Schwedt,DE,53.0596,14.2815,58.57,95,48,4.27,light rain
290,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,76,56,14.97,broken clouds
291,Buraydah,SA,26.326,43.975,88.25,11,0,10.31,clear sky
292,Saucillo,MX,28.0167,-105.2833,89.96,26,46,19.17,scattered clouds
293,Pogoanele,RO,44.9167,27.0,60.76,76,8,4.59,clear sky
294,Constantine,DZ,36.365,6.6147,72.81,49,0,2.3,clear sky
295,Tessalit,ML,20.1986,1.0114,90.39,25,64,7.18,broken clouds
296,Opuwo,NA,-18.0607,13.84,46.98,81,0,8.7,clear sky
297,Bourail,NC,-21.5667,165.4833,72.16,56,17,11.54,few clouds
298,Waingapu,ID,-9.6567,120.2641,80.55,70,76,13.44,broken clouds
299,Singaparna,ID,-7.3515,108.111,71.69,96,96,0.89,overcast clouds
300,Cotonou,BJ,6.3654,2.4183,78.78,83,20,6.91,few clouds
301,Dunedin,NZ,-45.8742,170.5036,45.81,82,100,3.0,overcast clouds
302,Panama City,PA,8.9936,-79.5197,82.35,82,20,4.61,few clouds
303,Marienburg,PL,54.0359,19.0266,58.12,95,91,8.23,overcast clouds
304,Khorixas,NA,-20.3667,14.9667,44.49,94,48,7.7,scattered clouds
305,Torbay,CA,47.6666,-52.7314,59.77,89,75,14.97,broken clouds
306,Guerrero Negro,MX,27.9769,-114.0611,69.85,58,0,20.2,clear sky
307,Morro Bay,US,35.3658,-120.8499,86.88,49,8,7.0,clear sky
308,Kaili,ID,-3.4626,120.2147,71.29,82,96,0.94,overcast clouds
309,La Baule-Escoublac,FR,47.2922,-2.364,62.26,95,0,2.3,clear sky
310,Wattegama,LK,6.7989,81.4808,74.1,89,88,4.21,overcast clouds
311,Madimba,TZ,-10.4,40.3333,68.25,86,2,8.75,clear sky
312,Pochutla,MX,15.7432,-96.4661,84.02,92,100,2.46,overcast clouds
313,Sibiti,CG,-3.6819,13.3499,66.47,81,88,3.98,overcast clouds
314,Ouallam,NE,14.3188,2.0866,93.02,37,0,7.23,clear sky
315,Hirara,JP,24.8,125.2833,84.47,84,40,14.97,scattered clouds
316,Roseau,DM,15.3017,-61.3881,80.24,75,100,13.82,overcast clouds
317,Aranda De Duero,ES,41.6704,-3.6892,62.08,55,79,1.32,broken clouds
318,Atar,MR,20.5169,-13.0499,83.35,52,93,5.06,light rain
319,Hay River,CA,60.8156,-115.7999,67.96,39,75,6.91,broken clouds
320,Acapulco,MX,16.8634,-99.8901,84.02,79,75,9.22,broken clouds
321,Fort Nelson,CA,58.8053,-122.7002,76.59,29,40,5.75,scattered clouds
322,Kavieng,PG,-2.5744,150.7967,82.04,75,20,6.49,light rain
323,Ayagoz,KZ,47.9714,80.4392,64.8,56,2,1.57,clear sky
324,Liku,ID,-0.7275,119.8922,76.35,92,100,3.76,overcast clouds
325,Margate,GB,51.3813,1.3862,57.87,82,77,8.99,broken clouds
